Data,Kurs
2005-11-08,2.6087
2005-11-09,2.5882
2005-11-10,2.6135
2005-11-14,2.5964
2005-11-15,2.596
2005-11-16,2.5737
2005-11-17,2.5747
2005-11-18,2.5704
2005-11-21,2.5701
2005-11-22,2.565
2005-11-23,2.5498
2005-11-24,2.5294
2005-11-25,2.5274
2005-11-28,2.5294
2005-11-29,2.5154
2005-11-30,2.522
2005-12-01,2.541
2005-12-02,2.5139
2005-12-05,2.4995
2005-12-06,2.4877
2005-12-07,2.4944
2005-12-08,2.5108
2005-12-09,2.5126
2005-12-12,2.501
2005-12-13,2.479
2005-12-14,2.4816
2005-12-15,2.4927
2005-12-16,2.5066
2005-12-19,2.4962
2005-12-20,2.4752
2005-12-21,2.4686
2005-12-22,2.4652
2005-12-23,2.4671
2005-12-27,2.4613
2005-12-28,2.4649
2005-12-29,2.4748
2005-12-30,2.4788
2006-01-02,2.4834
2006-01-03,2.4868
2006-01-04,2.4784
2006-01-05,2.4552
2006-01-06,2.4644
2006-01-09,2.4474
2006-01-10,2.4479
2006-01-11,2.442
2006-01-12,2.4489
2006-01-13,2.4607
2006-01-16,2.4567
2006-01-17,2.4618
2006-01-18,2.4969
2006-01-19,2.4719
2006-01-20,2.4815
2006-01-23,2.4867
2006-01-24,2.4821
2006-01-25,2.4598
2006-01-26,2.4723
2006-01-27,2.4689
2006-01-30,2.4539
2006-01-31,2.4638
2006-02-01,2.4505
2006-02-02,2.4608
2006-02-03,2.462
2006-02-06,2.4538
2006-02-07,2.4554
2006-02-08,2.4637
2006-02-09,2.4541
2006-02-10,2.4366
2006-02-13,2.4369
2006-02-14,2.439
2006-02-15,2.4282
2006-02-16,2.4168
2006-02-17,2.4123
2006-02-20,2.4049
2006-02-21,2.4211
2006-02-22,2.4441
2006-02-23,2.4267
2006-02-24,2.4261
2006-02-27,2.409
2006-02-28,2.4101
2006-03-01,2.4162
2006-03-02,2.409
2006-03-03,2.4359
2006-03-06,2.4457
2006-03-07,2.4739
2006-03-08,2.4782
2006-03-09,2.4802
2006-03-10,2.4844
2006-03-13,2.48
2006-03-14,2.5136
2006-03-15,2.4758
2006-03-16,2.4794
2006-03-17,2.4394
2006-03-20,2.4725
2006-03-21,2.4798
2006-03-22,2.4919
2006-03-23,2.4705
2006-03-24,2.475
2006-03-27,2.4729
2006-03-28,2.5072
2006-03-29,2.5182
2006-03-30,2.498
2006-03-31,2.4913
2006-04-03,2.4841
2006-04-04,2.4916
2006-04-05,2.5204
2006-04-06,2.5241
2006-04-07,2.5163
2006-04-10,2.5133
2006-04-11,2.5048
2006-04-12,2.4915
2006-04-13,2.5069
2006-04-14,2.5019
2006-04-18,2.5061
2006-04-19,2.4883
2006-04-20,2.4792
2006-04-21,2.467
2006-04-24,2.4581
2006-04-25,2.4564
2006-04-26,2.4629
2006-04-27,2.4459
2006-04-28,2.4619
2006-05-02,2.4694
2006-05-04,2.4485
2006-05-05,2.4475
2006-05-08,2.4547
2006-05-09,2.4553
2006-05-10,2.4696
2006-05-11,2.4448
2006-05-12,2.4931
2006-05-15,2.5338
2006-05-16,2.5268
2006-05-17,2.4983
2006-05-18,2.5485
2006-05-19,2.5319
2006-05-22,2.5517
2006-05-23,2.5545
2006-05-24,2.5564
2006-05-25,2.5371
2006-05-26,2.5212
2006-05-29,2.5125
2006-05-30,2.5247
2006-05-31,2.5324
2006-06-01,2.5234
2006-06-02,2.5086
2006-06-05,2.5324
2006-06-06,2.5452
2006-06-07,2.5292
2006-06-08,2.5347
2006-06-09,2.5346
2006-06-12,2.561
2006-06-13,2.5948
2006-06-14,2.5888
2006-06-16,2.5939
2006-06-19,2.5945
2006-06-20,2.6027
2006-06-21,2.6148
2006-06-22,2.6023
2006-06-23,2.6249
2006-06-26,2.6263
2006-06-27,2.5977
2006-06-28,2.6099
2006-06-29,2.6118
2006-06-30,2.5803
2006-07-03,2.5857
2006-07-04,2.5548
2006-07-05,2.5679
2006-07-06,2.583
2006-07-07,2.5654
2006-07-10,2.5846
2006-07-11,2.5724
2006-07-12,2.5703
2006-07-13,2.5933
2006-07-14,2.5857
2006-07-17,2.5875
2006-07-18,2.5793
2006-07-19,2.5635
2006-07-20,2.5183
2006-07-21,2.5165
2006-07-24,2.5145
2006-07-25,2.4916
2006-07-26,2.4911
2006-07-27,2.4832
2006-07-28,2.4962
2006-07-31,2.501
2006-08-01,2.5033
2006-08-02,2.5038
2006-08-03,2.488
2006-08-04,2.4773
2006-08-07,2.4621
2006-08-08,2.4616
2006-08-09,2.4557
2006-08-10,2.4536
2006-08-11,2.4485
2006-08-14,2.4456
2006-08-16,2.4575
2006-08-17,2.45
2006-08-18,2.4591
